name,synonyms,name_sd,synonyms_sd,bm25,fw,bm25_fw,ensemble,match
WARTSILA OYJ ABP,,wartsila oyj abp,,"[('Glaston Oyj Abp', 0.9), ('Wärtsilä Oyj Abp', 0.8), ('Fiskars Oyj Abp', 0.7), ('Stockmann Oyj Abp', 0.6), ('Oyj Ahola Transport Abp', 0.5)]",,"[('Wärtsilä Oyj Abp', 93), ('Fiskars Oyj Abp', 71), ('Glaston Oyj Abp', 65), ('Stockmann Oyj Abp', 61), ('Oyj Ahola Transport Abp', 58)]","{'Glaston Oyj Abp': 1.55, 'Wärtsilä Oyj Abp': 1.73, 'Fiskars Oyj Abp': 1.41, 'Stockmann Oyj Abp': 1.21, 'Oyj Ahola Transport Abp': 1.08}",Wärtsilä Oyj Abp
Welltower Inc.,,welltower ,,"[('WELLTOWER INC.', 0.9), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.8), ('Työstökoneliike M. Koskela Oy', 0.7), ('Työväen Teatterin talosäätiö sr', 0.6), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.5)]",,"[('WELLTOWER INC.', 100), ('Työväen Teatterin talosäätiö sr', 41), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 39), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 34), ('Työstökoneliike M. Koskela Oy', 28)]","{'WELLTOWER INC.': 1.9, ""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.19, 'Työstökoneliike M. Koskela Oy': 0.98, 'Työväen Teatterin talosäätiö sr': 1.01, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 0.8400000000000001}",WELLTOWER INC.
Wells Fargo & Company,,wells fargo & ,,"[('WELLS FARGO & COMPANY', 0.9), ('Wells Fargo International B.V.', 0.8), ('Wells Fargo/D&C Bond', 0.7), ('Wells Fargo & Co. - Pension', 0.6), (""Wells Fargo Equipment Finance Company/Société De Financement D'équipement Wells Fargo"", 0.5)]",,"[('WELLS FARGO & COMPANY', 100), (""Wells Fargo Equipment Finance Company/Société De Financement D'équipement Wells Fargo"", 86), ('Wells Fargo/D&C Bond', 78), ('Wells Fargo & Co. - Pension', 75), ('Wells Fargo International B.V.', 69)]","{'WELLS FARGO & COMPANY': 1.9, 'Wells Fargo International B.V.': 1.49, 'Wells Fargo/D&C Bond': 1.48, 'Wells Fargo & Co. - Pension': 1.35, ""Wells Fargo Equipment Finance Company/Société De Financement D'équipement Wells Fargo"": 1.3599999999999999}",WELLS FARGO & COMPANY
Weir Group plc,,weir  ,,"[('FERN-WEIR GROUP LIMITED', 0.9), ('WEIR HOLDINGS B.V.', 0.8), ('WEIR GABBIONETA S.R.L.', 0.7), ('4IMPRINT GROUP PLC', 0.6), ('TEAM17 GROUP PLC', 0.5)]",,"[('FERN-WEIR GROUP LIMITED', 86), ('WEIR GABBIONETA S.R.L.', 86), ('4IMPRINT GROUP PLC', 75), ('TEAM17 GROUP PLC', 74), ('WEIR HOLDINGS B.V.', 45)]","{'FERN-WEIR GROUP LIMITED': 1.76, 'WEIR HOLDINGS B.V.': 1.25, 'WEIR GABBIONETA S.R.L.': 1.56, '4IMPRINT GROUP PLC': 1.35, 'TEAM17 GROUP PLC': 1.24}",FERN-WEIR GROUP LIMITED
WANT WANT CHINA,Want Want China,want want china,want want china,"[('Want Want China Holdings Limited', 0.9), ('WANT S.R.L.', 0.8), ('WAR ON WANT', 0.7), ('Want T.T. Investment Limited', 0.6), ('Want Agency Inc.', 0.5)]",,"[('Want Want China Holdings Limited', 90), ('WANT S.R.L.', 86), ('Want T.T. Investment Limited', 86), ('Want Agency Inc.', 67), ('WAR ON WANT', 66)]","{'Want Want China Holdings Limited': 1.8, 'WANT S.R.L.': 1.6600000000000001, 'WAR ON WANT': 1.3599999999999999, 'Want T.T. Investment Limited': 1.46, 'Want Agency Inc.': 1.17}",Want Want China Holdings Limited
Weyerhaeuser Company,,weyerhaeuser ,,"[('Weyerhaeuser Company', 0.9), ('Weyerhaeuser NR Company', 0.8), ('WEYERHAEUSER COMPANY MASTER RETIREMENT TRUST', 0.7), ('L.C.B. COMPANY S.R.L.', 0.6), ('H.M.PATEL & COMPANY', 0.5)]",,"[('Weyerhaeuser Company', 100), ('Weyerhaeuser NR Company', 95), ('WEYERHAEUSER COMPANY MASTER RETIREMENT TRUST', 90), ('H.M.PATEL & COMPANY', 56), ('L.C.B. COMPANY S.R.L.', 55)]","{'Weyerhaeuser Company': 1.9, 'Weyerhaeuser NR Company': 1.75, 'WEYERHAEUSER COMPANY MASTER RETIREMENT TRUST': 1.6, 'L.C.B. COMPANY S.R.L.': 1.15, 'H.M.PATEL & COMPANY': 1.06}",Weyerhaeuser Company
Western Union Company,,western union ,,"[('THE WESTERN UNION COMPANY', 0.9), ('The Western Union Company', 0.8), ('Western Union Financial Holdings, L.L.C.', 0.7), ('WESTERN COOPERATIVE CREDIT UNION', 0.6), ('WESTERN UNION PENSION PLAN', 0.5)]",,"[('THE WESTERN UNION COMPANY', 95), ('The Western Union Company', 95), ('Western Union Financial Holdings, L.L.C.', 86), ('WESTERN COOPERATIVE CREDIT UNION', 86), ('WESTERN UNION PENSION PLAN', 77)]","{'THE WESTERN UNION COMPANY': 1.85, 'The Western Union Company': 1.75, 'Western Union Financial Holdings, L.L.C.': 1.56, 'WESTERN COOPERATIVE CREDIT UNION': 1.46, 'WESTERN UNION PENSION PLAN': 1.27}",THE WESTERN UNION COMPANY
Walt Disney Company,,walt disney ,,"[('THE WALT DISNEY COMPANY', 0.9), ('THE WALT DISNEY COMPANY RETIREMENT PLAN MASTER TRUST', 0.8), ('WALT SARL', 0.7), ('DISNEY TRUST', 0.6), ('Disney Garden Limited', 0.5)]",,"[('THE WALT DISNEY COMPANY', 95), ('THE WALT DISNEY COMPANY RETIREMENT PLAN MASTER TRUST', 90), ('WALT SARL', 86), ('DISNEY TRUST', 86), ('Disney Garden Limited', 57)]","{'THE WALT DISNEY COMPANY': 1.85, 'THE WALT DISNEY COMPANY RETIREMENT PLAN MASTER TRUST': 1.7000000000000002, 'WALT SARL': 1.56, 'DISNEY TRUST': 1.46, 'Disney Garden Limited': 1.0699999999999998}",THE WALT DISNEY COMPANY
VF Corp,,vf ,,"[('VF - 2000', 0.9), ('VF S.P.A.', 0.8), ('VF, a.s.', 0.7), ('VF VENIERI S.P.A.', 0.6), ('VF Holdings, L.L.C.', 0.5)]",,"[('VF VENIERI S.P.A.', 86), ('VF Holdings, L.L.C.', 86), ('VF S.P.A.', 53), ('VF, a.s.', 48), ('VF - 2000', 42)]","{'VF - 2000': 1.32, 'VF S.P.A.': 1.33, 'VF, a.s.': 1.18, 'VF VENIERI S.P.A.': 1.46, 'VF Holdings, L.L.C.': 1.3599999999999999}",VF VENIERI S.P.A.
Waste Management Inc.,,waste management ,,"[('V4C Waste Management Investments S.à r.l.', 0.9), ('Bohemian Waste Management a.s.', 0.8), ('WASTE MANAGEMENT, INC.', 0.7), ('MUMBAI WASTE MANAGEMENT LIMITED', 0.6), ('AMERICAS WASTE MANAGEMENT, LLC', 0.5)]",,"[('WASTE MANAGEMENT, INC.', 98), ('V4C Waste Management Investments S.à r.l.', 86), ('MUMBAI WASTE MANAGEMENT LIMITED', 86), ('AMERICAS WASTE MANAGEMENT, LLC', 86), ('Bohemian Waste Management a.s.', 85)]","{'V4C Waste Management Investments S.à r.l.': 1.76, 'Bohemian Waste Management a.s.': 1.65, 'WASTE MANAGEMENT, INC.': 1.68, 'MUMBAI WASTE MANAGEMENT LIMITED': 1.46, 'AMERICAS WASTE MANAGEMENT, LLC': 1.3599999999999999}",V4C Waste Management Investments S.à r.l.
