name,synonyms,name_sd,synonyms_sd,bm25,fw,bm25_fw,ensemble,match
ABB LTD-REG,,abb -reg,,"[('ABB K.K.', 0.9), ('ABB B.V.', 0.8), ('ABB s.r.o.', 0.7), ('ABB d.o.o.', 0.6), ('ABB S. A.', 0.5)]","[('EG Group Limited', 90), ('ABB Company Limited', 90), ('ABB Limited', 90), ('CO Group AB', 90), ('ABB INC.', 90)]","[('ABB K.K.', 86), ('ABB B.V.', 86), ('ABB d.o.o.', 64), ('ABB s.r.o.', 60), ('ABB S. A.', 57)]","{'ABB K.K.': 1.76, 'ABB B.V.': 1.6600000000000001, 'ABB s.r.o.': 1.2999999999999998, 'ABB d.o.o.': 1.24, 'ABB S. A.': 1.0699999999999998}",ABB K.K.
ABIOMED Inc.,ABIOMED Inc.,abiomed ,abiomed ,"[('Abiomed, Inc.', 0.9), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.8), ('Työstökoneliike M. Koskela Oy', 0.7), ('Työväen Teatterin talosäätiö sr', 0.6), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.5)]","[('Abiomed, Inc.', 90), ('NC Group, Ltd.', 90), ('CO Group AB', 90), ('BIOME LIMITED', 90), ('M & M', 86)]","[('Abiomed, Inc.', 96), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 40), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 40), ('Työväen Teatterin talosäätiö sr', 32), ('Työstökoneliike M. Koskela Oy', 24)]","{'Abiomed, Inc.': 1.8599999999999999, ""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.2000000000000002, 'Työstökoneliike M. Koskela Oy': 0.94, 'Työväen Teatterin talosäätiö sr': 0.9199999999999999, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 0.9}","Abiomed, Inc."
3i Group,,3i ,,"[('T.B. GROUP S.R.L.', 0.9), ('SOL.EDIL GROUP S.R.L.', 0.8), ('C.E.G. GROUP S.R.L.', 0.7), ('F.P.M. GROUP S.P.A.', 0.6), ('F.C. GROUP S.R.L.', 0.5)]","[('3I GROUP PLC', 90), ('3I PLC', 90), ('P COMPANY', 90), ('i', 90), ('U CORPORATION LTD', 90)]","[('T.B. GROUP S.R.L.', 86), ('SOL.EDIL GROUP S.R.L.', 86), ('C.E.G. GROUP S.R.L.', 86), ('F.P.M. GROUP S.P.A.', 86), ('F.C. GROUP S.R.L.', 86)]","{'T.B. GROUP S.R.L.': 1.76, 'SOL.EDIL GROUP S.R.L.': 1.6600000000000001, 'C.E.G. GROUP S.R.L.': 1.56, 'F.P.M. GROUP S.P.A.': 1.46, 'F.C. GROUP S.R.L.': 1.3599999999999999}",T.B. GROUP S.R.L.
AB InBev SA-NV ,Anheuser-Busch InBev SA/NV,ab inbev sa-nv ,anheuser-busch inbev sa/nv,"[('AB INBEV UK LIMITED', 0.9), ('INBEV SPAIN, S.L.', 0.8), ('INBEV BELGIUM', 0.7), ('AB INBEV CORPORATE SERVICES LIMITED', 0.6), ('Pensioenfonds InBev - Kaderleden', 0.5)]","[('INC S.A.', 90), ('SA GROUP LTD', 90), ('CO Group AB', 90), ('NATIONALE BORG REINSURANCE N.V.', 86), ('EXEMPLOS INSPIRADORES, S.A.', 86)]","[('AB INBEV CORPORATE SERVICES LIMITED', 86), ('Pensioenfonds InBev - Kaderleden', 86), ('AB INBEV UK LIMITED', 69), ('INBEV SPAIN, S.L.', 66), ('INBEV BELGIUM', 53)]","{'AB INBEV UK LIMITED': 1.5899999999999999, 'INBEV SPAIN, S.L.': 1.46, 'INBEV BELGIUM': 1.23, 'AB INBEV CORPORATE SERVICES LIMITED': 1.46, 'Pensioenfonds InBev - Kaderleden': 1.3599999999999999}",AB INBEV UK LIMITED
Accor S.A,Accor,accor sa,accor,"[('Accor Polska Spółka z ograniczoną odpowiedzialnością', 0.9), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.8), ('Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf', 0.7), ('Työväen Teatterin talosäätiö sr', 0.6), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 0.5)]","[('ACC LIMITED', 90), ('AC Corporation', 90), ('KENSINGTON ITALY RETAIL HOLDCO S.À R.L.', 86), ('KENSINGTON UK INDUSTRIAL PROPCO S.À R.L.', 86), ('KENSINGTON UK LOGISTICS (BRISTOL) S.À R.L.', 86)]","[('Accor Polska Spółka z ograniczoną odpowiedzialnością', 86), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 86), ('Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf', 40), ('Työväen Teatterin talosäätiö sr', 40), ('Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf', 40)]","{'Accor Polska Spółka z ograniczoną odpowiedzialnością': 1.76, ""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.6600000000000001, 'Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf': 1.1, 'Työväen Teatterin talosäätiö sr': 1.0, 'Työväen Sivistysliitto TSL ry, ruotsiksi Arbetarnas Bildningsförbund ABF rf': 0.9}",Accor Polska Spółka z ograniczoną odpowiedzialnością
ServiceNow,,servicenow,,"[('ServiceNow Nederland B.V.', 0.9), ('SERVICENOW, INC.', 0.8), ('SERVICENOW UK LIMITED', 0.7), ('SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED', 0.6), ('Työväen Opintorahasto sr', 0.5)]","[('SERVICENOW, INC.', 100), ('SERVICENOW UK LIMITED', 95), ('RV CORP', 90), ('IC', 90), ('I.C.E.', 90)]","[('ServiceNow Nederland B.V.', 90), ('SERVICENOW, INC.', 90), ('SERVICENOW UK LIMITED', 90), ('SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED', 90), ('Työväen Opintorahasto sr', 43)]","{'ServiceNow Nederland B.V.': 1.8, 'SERVICENOW, INC.': 1.7000000000000002, 'SERVICENOW UK LIMITED': 1.6, 'SERVICENOW SOFTWARE DEVELOPMENT INDIA PRIVATE LIMITED': 1.5, 'Työväen Opintorahasto sr': 0.9299999999999999}",ServiceNow Nederland B.V.
AAC TECHNOLOGIES,AAC,aac technologies,aac,"[('AAC TECHNOLOGIES HOLDINGS INC.', 0.9), ('AAC TECHNOLOGIES INDIA PRIVATE LIMITED', 0.8), ('AAC TÊXTEIS S.A.', 0.7), ('AAC Holdings, Inc.', 0.6), ('AAC 3 PTE. LTD.', 0.5)]","[('AAE TECHNOLOGIES LIMITED', 94), ('ACM TECHNOLOGIES, INC.', 94), ('Ada Technologies Inc.', 94), ('ABC Technologies Inc.', 94), ('TATA TECHNOLOGIES LIMITED', 91)]","[('AAC TECHNOLOGIES HOLDINGS INC.', 90), ('AAC TECHNOLOGIES INDIA PRIVATE LIMITED', 90), ('AAC Holdings, Inc.', 55), ('AAC TÊXTEIS S.A.', 53), ('AAC 3 PTE. LTD.', 47)]","{'AAC TECHNOLOGIES HOLDINGS INC.': 1.8, 'AAC TECHNOLOGIES INDIA PRIVATE LIMITED': 1.7000000000000002, 'AAC TÊXTEIS S.A.': 1.23, 'AAC Holdings, Inc.': 1.15, 'AAC 3 PTE. LTD.': 0.97}",AAC TECHNOLOGIES HOLDINGS INC.
Abbott Laboratories,,abbott laboratories,,"[('Abbott Laboratories B.V.', 0.9), ('Abbott Laboratories, s.r.o.', 0.8), ('Abbott Laboratories (Philippines)', 0.7), ('Abbott Laboratories Uruguay S.A.', 0.6), ('ABBOTT LABORATORIES SA', 0.5)]","[('ABBOTT LABORATORIES COMPANY LIMITED', 100), ('ABBOTT LABORATORIES NZ LIMITED', 95), ('ABBOTT LABORATORIES, IRELAND, LIMITED', 95), ('ABBOTT LABORATORIES PAKISTAN LIMITED', 95), ('Abbott Laboratories B.V.', 95)]","[('Abbott Laboratories B.V.', 95), ('Abbott Laboratories, s.r.o.', 95), ('ABBOTT LABORATORIES SA', 95), ('Abbott Laboratories (Philippines)', 90), ('Abbott Laboratories Uruguay S.A.', 90)]","{'Abbott Laboratories B.V.': 1.85, 'Abbott Laboratories, s.r.o.': 1.75, 'Abbott Laboratories (Philippines)': 1.6, 'Abbott Laboratories Uruguay S.A.': 1.5, 'ABBOTT LABORATORIES SA': 1.45}",Abbott Laboratories B.V.
Aberforth Smaller Companies Trust,,aberforth smaller  trust,,"[('ABERFORTH SMALLER COMPANIES TRUST PLC', 0.9), ('Pendal Smaller Companies Trust', 0.8), ('GENESIS SMALLER COMPANIES', 0.7), ('S&H Smaller Companies EMU', 0.6), ('BLACKROCK SMALLER COMPANIES TRUST PLC', 0.5)]","[('ABERFORTH SMALLER COMPANIES TRUST PLC', 95), ('LTD TRUST', 90), ('TRUST', 90), ('PREM TRUST NOMINEES LIMITED', 86), ('HSBC INVESTMENT FUND TRUST - HSBC PAN ASIA BOND INDEX FUND', 86)]","[('ABERFORTH SMALLER COMPANIES TRUST PLC', 95), ('Pendal Smaller Companies Trust', 83), ('BLACKROCK SMALLER COMPANIES TRUST PLC', 78), ('GENESIS SMALLER COMPANIES', 77), ('S&H Smaller Companies EMU', 77)]","{'ABERFORTH SMALLER COMPANIES TRUST PLC': 1.85, 'Pendal Smaller Companies Trust': 1.63, 'GENESIS SMALLER COMPANIES': 1.47, 'S&H Smaller Companies EMU': 1.37, 'BLACKROCK SMALLER COMPANIES TRUST PLC': 1.28}",ABERFORTH SMALLER COMPANIES TRUST PLC
ACS,,acs,,"[('ACS SERVICE S.R.L.', 0.9), ('""ACS EXPRESS S.R.L.""', 0.8), ('ACS Groothandel B.V.', 0.7), ('ACS 2007-1 LIMITED', 0.6), ('ACS teplo j.s.a.', 0.5)]","[('EILEEN ISAACS WILL TRUST', 90), ('LEWIS ISAACS WILL TRUST', 90), ('ACSMID (HOLDINGS) LIMITED', 90), ('TRACSCARE MIDCO LIMITED', 90), ('TIPACS2 LIMITED', 90)]","[('ACS SERVICE S.R.L.', 90), ('""ACS EXPRESS S.R.L.""', 90), ('ACS Groothandel B.V.', 90), ('ACS 2007-1 LIMITED', 90), ('ACS teplo j.s.a.', 90)]","{'ACS SERVICE S.R.L.': 1.8, '""ACS EXPRESS S.R.L.""': 1.7000000000000002, 'ACS Groothandel B.V.': 1.6, 'ACS 2007-1 LIMITED': 1.5, 'ACS teplo j.s.a.': 1.4}",ACS SERVICE S.R.L.
Fifth Third Bancorp,,fifth third bancorp,,"[('Fifth Third Bancorp', 0.9), ('Fifth Third Auto Trust 2014-1', 0.8), ('FIFTH THIRD AUTO TRUST 2019-1', 0.7), ('FIFTH THIRD MORTGAGE COMPANY', 0.6), ('FIFTH THIRD SECURITIES, INC.', 0.5)]","[('Fifth Third Bancorp', 100), ('H/T LIMITED', 90), ('HSBC BANK - TYPE B ASSET MANAGEMENT VARIABLE MF (THIRD SUB FUND)', 86), ('THE RT HON THIRD LORD JOICEY £50000 SETTLEMENT', 86), (""THE THIRD EARL OF INCHCAPE'S 1960 SETTLEMENT - LADY LUCINDA MACKAY"", 86)]","[('Fifth Third Bancorp', 100), ('Fifth Third Auto Trust 2014-1', 86), ('FIFTH THIRD AUTO TRUST 2019-1', 86), ('FIFTH THIRD MORTGAGE COMPANY', 69), ('FIFTH THIRD SECURITIES, INC.', 69)]","{'Fifth Third Bancorp': 1.9, 'Fifth Third Auto Trust 2014-1': 1.6600000000000001, 'FIFTH THIRD AUTO TRUST 2019-1': 1.56, 'FIFTH THIRD MORTGAGE COMPANY': 1.29, 'FIFTH THIRD SECURITIES, INC.': 1.19}",Fifth Third Bancorp
AbbVie Inc.,,abbvie ,,"[('AbbVie S.à r.l.', 0.9), ('AbbVie d.o.o.', 0.8), ('AbbVie s.r.o.', 0.7), ('S.C. AbbVie S.R.L.', 0.6), ('AbbVie Finance B.V.', 0.5)]","[('ABBVIE LTD', 90), ('ABB Company Limited', 90), ('ABB Limited', 90), ('NC Group, Ltd.', 90), ('CO Group AB', 90)]","[('S.C. AbbVie S.R.L.', 86), ('AbbVie Finance B.V.', 86), ('AbbVie S.à r.l.', 71), ('AbbVie d.o.o.', 71), ('AbbVie s.r.o.', 71)]","{'AbbVie S.à r.l.': 1.6099999999999999, 'AbbVie d.o.o.': 1.51, 'AbbVie s.r.o.': 1.41, 'S.C. AbbVie S.R.L.': 1.46, 'AbbVie Finance B.V.': 1.3599999999999999}",AbbVie S.à r.l.
Liberty Global,,liberty global,,"[('LIBERTY S.R.L.', 0.9), ('LIBERTY GLOBAL INCORPORATED LIMITED', 0.8), ('LIBERTY GLOBAL EUROPE 2 LIMITED', 0.7), ('LIBERTY GLOBAL EUROPE HOLDING B.V.', 0.6), ('LIBERTY GLOBAL EUROPE FINANCING B.V.', 0.5)]","[('AL Limited', 90), ('LIBERT', 90), ('GL', 90), ('Liberty Limited', 90), ('BA Limited', 90)]","[('LIBERTY GLOBAL INCORPORATED LIMITED', 90), ('LIBERTY GLOBAL EUROPE 2 LIMITED', 90), ('LIBERTY GLOBAL EUROPE HOLDING B.V.', 90), ('LIBERTY GLOBAL EUROPE FINANCING B.V.', 90), ('LIBERTY S.R.L.', 67)]","{'LIBERTY S.R.L.': 1.57, 'LIBERTY GLOBAL INCORPORATED LIMITED': 1.7000000000000002, 'LIBERTY GLOBAL EUROPE 2 LIMITED': 1.6, 'LIBERTY GLOBAL EUROPE HOLDING B.V.': 1.5, 'LIBERTY GLOBAL EUROPE FINANCING B.V.': 1.4}",LIBERTY GLOBAL INCORPORATED LIMITED
Aggreko plc,,aggreko ,,"[('AGGREKO PLC', 0.9), ('AGGREKO INTERNATIONAL PROJECTS LIMITED', 0.8), ('KAT AND CHRIS TURNERS AGGREKO SETTLEMENT', 0.7), ('AGGREKO ENERGY RENTAL INDIA PRIVATE LIMITED', 0.6), ('THEWORKS.CO.UK PLC', 0.5)]","[('AGGREKO PLC', 90), ('PL Company', 90), ('AGGREKO INTERNATIONAL PROJECTS LIMITED', 86), ('KAT AND CHRIS TURNERS AGGREKO SETTLEMENT', 86), ('AGGREKO ENERGY RENTAL INDIA PRIVATE LIMITED', 86)]","[('AGGREKO PLC', 100), ('AGGREKO INTERNATIONAL PROJECTS LIMITED', 86), ('KAT AND CHRIS TURNERS AGGREKO SETTLEMENT', 86), ('AGGREKO ENERGY RENTAL INDIA PRIVATE LIMITED', 86), ('THEWORKS.CO.UK PLC', 86)]","{'AGGREKO PLC': 1.9, 'AGGREKO INTERNATIONAL PROJECTS LIMITED': 1.6600000000000001, 'KAT AND CHRIS TURNERS AGGREKO SETTLEMENT': 1.56, 'AGGREKO ENERGY RENTAL INDIA PRIVATE LIMITED': 1.46, 'THEWORKS.CO.UK PLC': 1.3599999999999999}",AGGREKO PLC
Universal Health Services Inc.,,universal health services ,,"[('Universal Health Services, Inc.', 0.9), ('Alberta Health Services', 0.8), ('Fairview Health Services', 0.7), ('PARAMED HEALTH SERVICES S.R.L.', 0.6), ('CAREALLIANCE HEALTH SERVICES', 0.5)]","[('Universal Health Services, Inc.', 95), ('UNIVERSAL CORPORATION LIMITED', 90), ('Universal-CORP', 90), ('Services Group, Inc.', 90), ('PRINCIPAL SERVICES', 86)]","[('Universal Health Services, Inc.', 98), ('Alberta Health Services', 75), ('Fairview Health Services', 73), ('CAREALLIANCE HEALTH SERVICES', 67), ('PARAMED HEALTH SERVICES S.R.L.', 66)]","{'Universal Health Services, Inc.': 1.88, 'Alberta Health Services': 1.55, 'Fairview Health Services': 1.43, 'PARAMED HEALTH SERVICES S.R.L.': 1.26, 'CAREALLIANCE HEALTH SERVICES': 1.17}","Universal Health Services, Inc."
3M Company,3 M,3m ,3 m,"[('G. & P. COMPANY S.R.L.', 0.9), ('A.G.B. COMPANY S.P.A.', 0.8), ('R. & P. COMPANY S.R.L.', 0.7), ('G.P. Company B.V.', 0.6), ('I.MD-Company', 0.5)]","[('ANY LTD.', 90), ('MPA LIMITED', 90), ('MP GROUP', 90), ('3M COMPANY', 90), ('3M BRACKNELL HOLDINGS LLP', 86)]","[('G. & P. COMPANY S.R.L.', 86), ('A.G.B. COMPANY S.P.A.', 86), ('R. & P. COMPANY S.R.L.', 86), ('G.P. Company B.V.', 86), ('I.MD-Company', 82)]","{'G. & P. COMPANY S.R.L.': 1.76, 'A.G.B. COMPANY S.P.A.': 1.6600000000000001, 'R. & P. COMPANY S.R.L.': 1.56, 'G.P. Company B.V.': 1.46, 'I.MD-Company': 1.3199999999999998}",G. & P. COMPANY S.R.L.
AENA SME SA,,aena sme sa,,"[('Aena SPRL', 0.9), ('SME', 0.8), ('SME GRECALE 2017 S.R.L.', 0.7), ('FUCINO SME S.R.L.', 0.6), ('QUADRIVIO SME 2018 S.R.L.', 0.5)]","[('INC S.A.', 90), ('AE', 90), ('SME', 90), ('SA GROUP LTD', 90), ('EXEMPLOS INSPIRADORES, S.A.', 86)]","[('SME', 90), ('SME GRECALE 2017 S.R.L.', 86), ('QUADRIVIO SME 2018 S.R.L.', 86), ('Aena SPRL', 60), ('FUCINO SME S.R.L.', 52)]","{'Aena SPRL': 1.5, 'SME': 1.7000000000000002, 'SME GRECALE 2017 S.R.L.': 1.56, 'FUCINO SME S.R.L.': 1.12, 'QUADRIVIO SME 2018 S.R.L.': 1.3599999999999999}",SME
Adecco,ADECCO GROUP AG,adecco,adecco  ag,"[('Adecco Refinancing B.V.', 0.9), ('Adecco Beteiligungs GmbH', 0.8), ('Adecco Personaldienstleistungen GmbH', 0.7), ('Adecco Group AG', 0.6), ('Adecco Operations Germany GmbH', 0.5)]",,"[('Adecco Refinancing B.V.', 90), ('Adecco Beteiligungs GmbH', 90), ('Adecco Personaldienstleistungen GmbH', 90), ('Adecco Group AG', 90), ('Adecco Operations Germany GmbH', 90)]","{'Adecco Refinancing B.V.': 1.8, 'Adecco Beteiligungs GmbH': 1.7000000000000002, 'Adecco Personaldienstleistungen GmbH': 1.6, 'Adecco Group AG': 1.5, 'Adecco Operations Germany GmbH': 1.4}",Adecco Refinancing B.V.
Aeroports de Paris,,aeroports de paris,,"[('AEROPORTS DE LYON', 0.9), ('HOTEL DE PARIS S.R.L.', 0.8), ('HOTEL DE PARIS', 0.7), ('HOTEL DE PARIS - S.R.L.', 0.6), ('F.LLI PARIS S.R.L.', 0.5)]",,"[('AEROPORTS DE LYON', 79), ('HOTEL DE PARIS', 69), ('HOTEL DE PARIS S.R.L.', 60), ('HOTEL DE PARIS - S.R.L.', 60), ('F.LLI PARIS S.R.L.', 44)]","{'AEROPORTS DE LYON': 1.69, 'HOTEL DE PARIS S.R.L.': 1.4, 'HOTEL DE PARIS': 1.39, 'HOTEL DE PARIS - S.R.L.': 1.2, 'F.LLI PARIS S.R.L.': 0.94}",AEROPORTS DE LYON
AES Corporation,,aes ,,"[('AES GmbH', 0.9), ('AES Andres B.V.', 0.8), ('AES Selekt A1', 0.7), ('AES Gener S.A.', 0.6), ('AES Privatstiftung', 0.5)]",,"[('AES GmbH', 86), ('AES Privatstiftung', 61), ('AES Gener S.A.', 43), ('AES Andres B.V.', 41), ('AES Selekt A1', 41)]","{'AES GmbH': 1.76, 'AES Andres B.V.': 1.21, 'AES Selekt A1': 1.1099999999999999, 'AES Gener S.A.': 1.03, 'AES Privatstiftung': 1.1099999999999999}",AES GmbH
Aflac Incorporated,,aflac incorporated,,"[('AFLAC ASSET MANAGEMENT LLC', 0.9), ('Aflac Asset Management Japan Ltd.', 0.8), ('LensRentals.com Incorporated', 0.7), ('B2DIGITAL, INCORPORATED', 0.6), ('CR&R INCORPORATED', 0.5)]",,"[('Aflac Asset Management Japan Ltd.', 86), ('LensRentals.com Incorporated', 86), ('CR&R INCORPORATED', 80), ('B2DIGITAL, INCORPORATED', 76), ('AFLAC ASSET MANAGEMENT LLC', 41)]","{'AFLAC ASSET MANAGEMENT LLC': 1.31, 'Aflac Asset Management Japan Ltd.': 1.6600000000000001, 'LensRentals.com Incorporated': 1.56, 'B2DIGITAL, INCORPORATED': 1.3599999999999999, 'CR&R INCORPORATED': 1.3}",Aflac Asset Management Japan Ltd.
Admiral Group,,admiral ,,"[('ADMIRAL GROUP PLC', 0.9), ('Admiral B.V.', 0.8), ('Admiral Markets Group AS', 0.7), ('Admiral Dynamics', 0.6), ('ADMIRAL TOURS S.R.L.', 0.5)]",,"[('ADMIRAL GROUP PLC', 95), ('Admiral Markets Group AS', 86), ('Admiral B.V.', 74), ('Admiral Dynamics', 66), ('ADMIRAL TOURS S.R.L.', 66)]","{'ADMIRAL GROUP PLC': 1.85, 'Admiral B.V.': 1.54, 'Admiral Markets Group AS': 1.56, 'Admiral Dynamics': 1.26, 'ADMIRAL TOURS S.R.L.': 1.1600000000000001}",ADMIRAL GROUP PLC
AGEAS,,ageas,,"[('Ageas Finance N.V.', 0.9), ('AGEAS SA/NV', 0.8), ('Ageas Hybrid Financing', 0.7), ('Ageas Insurance International NV', 0.6), ('Fundo de Pensões AGEAS', 0.5)]",,"[('Ageas Finance N.V.', 90), ('AGEAS SA/NV', 90), ('Ageas Hybrid Financing', 90), ('Ageas Insurance International NV', 90), ('Fundo de Pensões AGEAS', 90)]","{'Ageas Finance N.V.': 1.8, 'AGEAS SA/NV': 1.7000000000000002, 'Ageas Hybrid Financing': 1.6, 'Ageas Insurance International NV': 1.5, 'Fundo de Pensões AGEAS': 1.4}",Ageas Finance N.V.
AKZO NOBEL,,akzo nobel,,"[('Akzo Nobel N.V.', 0.9), ('Akzo Nobel (C.) Holdings B.V.', 0.8), ('AKZO Nobel China B.V.', 0.7), ('Akzo Nobel Sourcing B.V.', 0.6), ('Akzo Nobel Inc.', 0.5)]",,"[('Akzo Nobel N.V.', 95), ('Akzo Nobel Inc.', 95), ('Akzo Nobel (C.) Holdings B.V.', 90), ('AKZO Nobel China B.V.', 90), ('Akzo Nobel Sourcing B.V.', 90)]","{'Akzo Nobel N.V.': 1.85, 'Akzo Nobel (C.) Holdings B.V.': 1.7000000000000002, 'AKZO Nobel China B.V.': 1.6, 'Akzo Nobel Sourcing B.V.': 1.5, 'Akzo Nobel Inc.': 1.45}",Akzo Nobel N.V.
Albemarle Corporation,,albemarle ,,"[('Albemarle Corporation', 0.9), ('Albemarle Virginia Corporation', 0.8), ('Albemarle Netherlands B.V.', 0.7), ('Albemarle Europe', 0.6), ('Albemarle Catalysts Company B.V.', 0.5)]",,"[('Albemarle Corporation', 100), ('Albemarle Virginia Corporation', 95), ('Albemarle Europe', 68), ('Albemarle Catalysts Company B.V.', 58), ('Albemarle Netherlands B.V.', 57)]","{'Albemarle Corporation': 1.9, 'Albemarle Virginia Corporation': 1.75, 'Albemarle Netherlands B.V.': 1.27, 'Albemarle Europe': 1.28, 'Albemarle Catalysts Company B.V.': 1.08}",Albemarle Corporation
Air Products and Chemicals Inc.,,air products and chemicals ,,"[('AIR PRODUCTS AND CHEMICALS, INC.', 0.9), ('Air Products and Chemicals (Shanghai) Co., Ltd', 0.8), ('Air Products and Chemicals (Zhejiang) Co., Ltd.', 0.7), ('Air Products and Chemicals (Shanghai) Systems Co. Ltd', 0.6), ('AIR PRODUCTS AND CHEMICALS (S) PTE. LTD.', 0.5)]",,"[('AIR PRODUCTS AND CHEMICALS, INC.', 98), ('AIR PRODUCTS AND CHEMICALS (S) PTE. LTD.', 88), ('Air Products and Chemicals (Shanghai) Co., Ltd', 86), ('Air Products and Chemicals (Zhejiang) Co., Ltd.', 86), ('Air Products and Chemicals (Shanghai) Systems Co. Ltd', 86)]","{'AIR PRODUCTS AND CHEMICALS, INC.': 1.88, 'Air Products and Chemicals (Shanghai) Co., Ltd': 1.6600000000000001, 'Air Products and Chemicals (Zhejiang) Co., Ltd.': 1.56, 'Air Products and Chemicals (Shanghai) Systems Co. Ltd': 1.46, 'AIR PRODUCTS AND CHEMICALS (S) PTE. LTD.': 1.38}","AIR PRODUCTS AND CHEMICALS, INC."
ALCON INC,,alcon ,,"[('Alcon', 0.9), ('ALCON HOLDING S.R.L.', 0.8), ('Alcon NV', 0.7), ('Alcon GmbH', 0.6), ('ALCON FINANCE CORPORATION', 0.5)]",,"[('Alcon', 90), ('ALCON HOLDING S.R.L.', 86), ('ALCON FINANCE CORPORATION', 86), ('Alcon NV', 82), ('Alcon GmbH', 67)]","{'Alcon': 1.8, 'ALCON HOLDING S.R.L.': 1.6600000000000001, 'Alcon NV': 1.52, 'Alcon GmbH': 1.27, 'ALCON FINANCE CORPORATION': 1.3599999999999999}",Alcon
AIA,,aia,,"[('AIA Associates', 0.9), ('AIA ANSTALT', 0.8), ('AIA Investment Funds - AIA INDIA EQUITY FUND', 0.7), ('AIA INVESTMENT FUNDS - AIA GLOBAL THEMES FUND', 0.6), ('AIA Investment Funds - AIA Equity Income Fund', 0.5)]",,"[('AIA Associates', 90), ('AIA ANSTALT', 90), ('AIA Investment Funds - AIA INDIA EQUITY FUND', 60), ('AIA INVESTMENT FUNDS - AIA GLOBAL THEMES FUND', 60), ('AIA Investment Funds - AIA Equity Income Fund', 60)]","{'AIA Associates': 1.8, 'AIA ANSTALT': 1.7000000000000002, 'AIA Investment Funds - AIA INDIA EQUITY FUND': 1.2999999999999998, 'AIA INVESTMENT FUNDS - AIA GLOBAL THEMES FUND': 1.2, 'AIA Investment Funds - AIA Equity Income Fund': 1.1}",AIA Associates
FinecoBank,Fineco,finecobank,fineco,"[('FINECOBANK BANCA FINECO S.P.A.', 0.9), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 0.8), ('Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf', 0.7), ('Työväen Urheiluliiton Yleisurheilun Tuki ry', 0.6), ('Työväen Teatterin talosäätiö sr', 0.5)]",,"[('FINECOBANK BANCA FINECO S.P.A.', 90), ('Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf', 36), ('Työväen Teatterin talosäätiö sr', 34), (""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"", 27), ('Työväen Urheiluliiton Yleisurheilun Tuki ry', 27)]","{'FINECOBANK BANCA FINECO S.P.A.': 1.8, ""THE YOUNG MEN'S CHRISTIAN ASSOCIATION OF METROPOLITAN DENVER"": 1.07, 'Työtehoseura ry, ruotsiksi Arbetseffektivitetsföreningen rf': 1.06, 'Työväen Urheiluliiton Yleisurheilun Tuki ry': 0.87, 'Työväen Teatterin talosäätiö sr': 0.8400000000000001}",FINECOBANK BANCA FINECO S.P.A.
Air Liquide,,air liquide,,"[('Air Liquide B.V.', 0.9), ('Air Liquide Industrie B.V.', 0.8), ('Air Liquide Nederland B.V.', 0.7), ('Air Liquide CZ, s.r.o.', 0.6), ('AIR LIQUIDE LIMITED', 0.5)]",,"[('Air Liquide B.V.', 95), ('Air Liquide Industrie B.V.', 90), ('Air Liquide Nederland B.V.', 90), ('Air Liquide CZ, s.r.o.', 90), ('AIR LIQUIDE LIMITED', 90)]","{'Air Liquide B.V.': 1.85, 'Air Liquide Industrie B.V.': 1.7000000000000002, 'Air Liquide Nederland B.V.': 1.6, 'Air Liquide CZ, s.r.o.': 1.5, 'AIR LIQUIDE LIMITED': 1.4}",Air Liquide B.V.
